station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
34,Cannon Dr & Fullerton Ave,41.92676,-87.63443,1234,1047,2281,0.2923,0.3355,0.3157
183,Damen Ave & Augusta Blvd,41.89971,-87.67723,1095,1163,2258,0.3224,0.295,0.3091
28,Larrabee St & Menomonee St,41.91468,-87.64332,1146,1092,2238,0.2198,0.2112,0.2154
227,Southport Ave & Waveland Ave,41.94815,-87.66394,1171,1055,2226,0.2863,0.2775,0.2817
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,1020,1126,2146,0.3126,0.301,0.3071
186,Ogden Ave & Race Ave,41.8918,-87.65875,1047,1024,2071,0.2158,0.2474,0.2318
229,Southport Ave & Roscoe St,41.94374,-87.66402,1090,979,2069,0.3075,0.3706,0.3407
321,Wabash Ave & 8th St,41.87196,-87.62611,1034,1027,2061,0.259,0.2437,0.2513
23,Orleans St & Elm St,41.90292,-87.63772,1027,1032,2059,0.2607,0.2444,0.2526
233,Sangamon St & Washington Blvd,41.883,-87.65115,954,1089,2043,0.2287,0.1845,0.2081
232,Pine Grove Ave & Addison St,41.94784,-87.64542,1016,1025,2041,0.2663,0.2323,0.2494
113,Bissell St & Armitage Ave,41.91844,-87.65222,1048,988,2036,0.3178,0.3187,0.3183
109,900 W Harrison,41.8745,-87.6498,1007,994,2001,0.2103,0.2185,0.2144
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,1149,848,1997,0.2642,0.2585,0.2609
137,Morgan Ave & 14th Pl,41.86238,-87.65106,960,1036,1996,0.2954,0.299,0.2971
92,Carpenter St & Huron St,41.89456,-87.65345,993,977,1970,0.173,0.2145,0.1939
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,930,1033,1963,0.2352,0.1946,0.216
301,Clark St & Schiller St,41.90799,-87.6315,949,1013,1962,0.3198,0.2655,0.2935
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,911,1008,1919,0.1637,0.1416,0.1532
217,May St & Fulton St,41.88677,-87.656,936,959,1895,0.097,0.1058,0.1013
313,Lakeview Ave & Fullerton Pkwy,41.92586,-87.63897,961,891,1852,0.2682,0.308,0.2889
22,May St & Taylor St,41.86948,-87.65549,966,871,1837,0.1527,0.1511,0.1519
223,Clifton Ave & Armitage Ave,41.91822,-87.65694,921,891,1812,0.4052,0.3941,0.3996
300,Broadway & Barry Ave,41.93774,-87.64409,919,891,1810,0.2593,0.2416,0.2503
19,Loomis St & Taylor St,41.86942,-87.661,909,880,1789,0.283,0.3212,0.3024
264,Stetson Ave & South Water St,41.88686,-87.62269,756,969,1725,0.1723,0.1495,0.1623
291,Wells St & Evergreen Ave,41.90672,-87.63483,903,804,1707,0.2637,0.247,0.2549
225,Halsted St & Dickens Ave,41.91994,-87.64883,866,830,1696,0.3542,0.388,0.3715
165,Clark St & Waveland Ave,41.94893,-87.65775,865,827,1692,0.3011,0.304,0.3026
154,Southport Ave & Belmont Ave,41.93949,-87.66378,889,785,1674,0.2178,0.216,0.2168
273,Michigan Ave & 18th St,41.85794,-87.62363,845,796,1641,0.2487,0.2166,0.2322
138,Clybourn Ave & Division St,41.90451,-87.6405,789,835,1624,0.1569,0.1825,0.1693
219,Damen Ave & Cortland Ave,41.91603,-87.67741,824,792,1616,0.3182,0.2913,0.3045
169,Canal St & Harrison St,41.87434,-87.63957,731,879,1610,0.1809,0.1874,0.1839
304,Halsted St & Waveland Ave,41.94933,-87.64963,782,828,1610,0.2935,0.3056,0.2994
16,Wood St & North Ave,41.91033,-87.67252,800,770,1570,0.3468,0.33,0.3382
15,Racine Ave & 18th St,41.85818,-87.65649,765,794,1559,0.3262,0.3137,0.3201
254,Pine Grove Ave & Irving Park Rd,41.95438,-87.64804,787,768,1555,0.2292,0.2109,0.2199
214,Damen Ave & Grand Ave,41.89122,-87.67686,765,773,1538,0.401,0.3961,0.3986
158,Milwaukee Ave & Wabansia Ave,41.91262,-87.68139,797,729,1526,0.273,0.2396,0.2556
224,Halsted St & Willow St,41.91378,-87.64884,766,756,1522,0.131,0.1423,0.1367
261,Hermitage Ave & Polk St,41.87151,-87.66989,819,699,1518,0.2904,0.2833,0.2866
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,764,703,1467,0.2048,0.1846,0.1943
162,Damen Ave & Wellington Ave,41.93588,-87.67842,742,674,1416,0.2596,0.2507,0.2549
55,Halsted St & James M Rochford St,41.86586,-87.64661,704,703,1407,0.2845,0.2486,0.2665
268,Lake Shore Dr & North Blvd,41.91172,-87.6268,688,703,1391,0.2319,0.2485,0.2401
27,Larrabee St & North Ave,41.91021,-87.6435,738,650,1388,0.36,0.2818,0.3184
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,711,652,1363,0.181,0.2096,0.1959
116,Western Ave & Winnebago Ave,41.91553,-87.68705,687,674,1361,0.23,0.2198,0.2249
62,McCormick Place,41.85138,-87.61883,660,674,1334,0.1543,0.1742,0.1641
146,Loomis St & Jackson Blvd,41.87795,-87.66201,675,652,1327,0.0813,0.0963,0.0889
249,Montrose Harbor,41.96398,-87.63818,630,685,1315,0.3139,0.3127,0.3133
129,Blue Island Ave & 18th St,41.85756,-87.66154,617,656,1273,0.3415,0.2739,0.3087
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,678,584,1262,0.2397,0.2994,0.2718
122,Congress Pkwy & Ogden Ave,41.87501,-87.67328,608,633,1241,0.2591,0.2895,0.274
14,Morgan St & 18th St,41.85809,-87.65107,623,617,1240,0.3323,0.321,0.3266
226,Racine Ave & Belmont Ave,41.93974,-87.65887,607,615,1222,0.2602,0.2323,0.2463
245,Clarendon Ave & Junior Ter,41.961,-87.6496,630,572,1202,0.1748,0.1651,0.1697
